step,epoch,loss,learning_rate,grad_norm,source_job,source_file
10,0.0,72.6313,6.048829123101417e-06,42.878143310546875,307161,slurm_train_fusellm-307161.out
20,0.0,68.5186,7.869708127800799e-06,27.822463989257812,307161,slurm_train_fusellm-307161.out
30,0.01,67.3873,8.9348540639004e-06,26.330944061279297,307161,slurm_train_fusellm-307161.out
40,0.01,67.7478,9.690587132500183e-06,24.197643280029297,307161,slurm_train_fusellm-307161.out
50,0.01,67.9595,9.992700729927009e-06,33.75636291503906,307161,slurm_train_fusellm-307161.out
60,0.01,66.462,9.974452554744526e-06,23.449054718017578,307161,slurm_train_fusellm-307161.out
70,0.01,66.4849,9.956204379562044e-06,26.44443130493164,307161,slurm_train_fusellm-307161.out
80,0.01,66.2721,9.937956204379563e-06,29.838027954101562,307161,slurm_train_fusellm-307161.out
90,0.02,66.901,9.919708029197081e-06,24.34040641784668,307161,slurm_train_fusellm-307161.out
100,0.02,65.9408,9.901459854014599e-06,22.370817184448242,307161,slurm_train_fusellm-307161.out
110,0.02,66.1159,9.883211678832118e-06,23.025981903076172,307161,slurm_train_fusellm-307161.out
120,0.02,65.6234,9.864963503649636e-06,52.6455078125,307161,slurm_train_fusellm-307161.out
130,0.02,65.5719,9.846715328467155e-06,22.740863800048828,307161,slurm_train_fusellm-307161.out
140,0.03,66.0249,9.828467153284671e-06,25.055936813354492,307161,slurm_train_fusellm-307161.out
150,0.03,66.9896,9.81021897810219e-06,27.25068473815918,307161,slurm_train_fusellm-307161.out
160,0.03,66.2674,9.791970802919709e-06,22.743288040161133,307161,slurm_train_fusellm-307161.out
170,0.03,64.9132,9.773722627737226e-06,22.41392707824707,307161,slurm_train_fusellm-307161.out
180,0.03,65.2788,9.755474452554746e-06,23.244037628173828,307161,slurm_train_fusellm-307161.out
190,0.03,66.3048,9.737226277372263e-06,38.897037506103516,307161,slurm_train_fusellm-307161.out
200,0.04,66.3456,9.718978102189783e-06,22.91575050354004,307161,slurm_train_fusellm-307161.out
210,0.04,65.7979,9.700729927007299e-06,24.406728744506836,307161,slurm_train_fusellm-307161.out
220,0.04,65.8464,9.682481751824818e-06,23.20159149169922,307161,slurm_train_fusellm-307161.out
230,0.04,65.0207,9.664233576642336e-06,22.203527450561523,307161,slurm_train_fusellm-307161.out
240,0.04,65.7702,9.645985401459855e-06,22.386743545532227,307161,slurm_train_fusellm-307161.out
250,0.05,67.2968,9.627737226277373e-06,24.436336517333984,307161,slurm_train_fusellm-307161.out
260,0.05,65.5811,9.60948905109489e-06,22.158132553100586,307161,slurm_train_fusellm-307161.out
270,0.05,65.3423,9.59124087591241e-06,22.56315803527832,307161,slurm_train_fusellm-307161.out
280,0.05,64.8517,9.572992700729928e-06,22.370820999145508,307161,slurm_train_fusellm-307161.out
290,0.05,65.6434,9.554744525547446e-06,23.69838523864746,307161,slurm_train_fusellm-307161.out
300,0.05,65.8757,9.536496350364965e-06,23.351619720458984,307161,slurm_train_fusellm-307161.out
310,0.06,64.9346,9.518248175182483e-06,22.791784286499023,307161,slurm_train_fusellm-307161.out
320,0.06,65.3528,9.5e-06,23.25322151184082,307161,slurm_train_fusellm-307161.out
330,0.06,64.7202,9.481751824817518e-06,22.09540557861328,307161,slurm_train_fusellm-307161.out
340,0.06,65.4015,9.463503649635038e-06,22.981136322021484,307161,slurm_train_fusellm-307161.out
350,0.06,66.0588,9.445255474452555e-06,24.91929817199707,307161,slurm_train_fusellm-307161.out
360,0.07,65.1761,9.427007299270073e-06,22.358009338378906,307161,slurm_train_fusellm-307161.out
370,0.07,65.3175,9.408759124087593e-06,23.74667739868164,307161,slurm_train_fusellm-307161.out
380,0.07,65.7238,9.39051094890511e-06,22.581186294555664,307161,slurm_train_fusellm-307161.out
390,0.07,65.9031,9.37226277372263e-06,24.290979385375977,307161,slurm_train_fusellm-307161.out
400,0.07,65.6855,9.354014598540146e-06,23.162437438964844,307161,slurm_train_fusellm-307161.out
410,0.07,64.7408,9.335766423357665e-06,28.675926208496094,307161,slurm_train_fusellm-307161.out
420,0.08,64.9275,9.317518248175183e-06,25.254438400268555,307161,slurm_train_fusellm-307161.out
430,0.08,65.3099,9.2992700729927e-06,24.282136917114258,307161,slurm_train_fusellm-307161.out
440,0.08,64.5122,9.28102189781022e-06,21.97355842590332,307161,slurm_train_fusellm-307161.out
450,0.08,64.8153,9.262773722627738e-06,28.517011642456055,307161,slurm_train_fusellm-307161.out
460,0.08,64.333,9.244525547445257e-06,26.53263282775879,307161,slurm_train_fusellm-307161.out
